study_hours_per_week,attendance_percent,previous_score,sleep_hours,absences,parental_education,internet_access,extracurricular_activities,part_time_job,study_method,final_score,pass_fail,performance_category
14.5,81.5,54.2,5.6,6,Bachelors,Yes,Yes,No,Tutoring,53.81,Pass,Average
11.3,74.8,67.7,5.8,9,PhD,Yes,Yes,Yes,Group Study,54.82,Pass,Average
15.2,81.5,56.8,9.4,6,Bachelors,Yes,No,No,Self-study,61.5,Pass,Average
19.6,86.5,60.9,6.7,7,High School,Yes,No,No,Tutoring,56.4,Pass,Average
10.8,80.6,90.1,7.7,7,High School,Yes,No,No,Online Courses,73.64,Pass,Good
10.8,80.5,85.1,5.7,5,Bachelors,Yes,No,No,Group Study,51.75,Pass,Average
19.9,71.6,45.5,5.7,7,Masters,Yes,Yes,Yes,Online Courses,57.58,Pass,Average
15.8,72.0,77.4,8.1,5,High School,Yes,No,Yes,Online Courses,55.73,Pass,Average
9.7,63.2,77.2,4.9,5,Masters,No,Yes,No,Online Courses,61.39,Pass,Average
14.7,100.0,47.8,6.2,5,High School,Yes,Yes,No,Tutoring,62.21,Pass,Average
9.7,65.1,77.3,6.7,6,Bachelors,Yes,No,No,Online Courses,50.47,Pass,Average
9.7,71.7,88.1,6.8,10,Masters,Yes,Yes,No,Tutoring,59.85,Pass,Average
13.2,71.4,48.2,6.5,11,High School,Yes,No,No,Tutoring,43.31,Pass,Below Average
2.4,90.7,51.2,7.2,8,Bachelors,Yes,No,No,Online Courses,38.75,Fail,Poor
3.4,76.5,80.3,7.6,8,High School,Yes,Yes,No,Online Courses,45.33,Pass,Below Average
9.2,95.0,69.1,7.7,1,Masters,No,No,No,Self-study,49.45,Pass,Below Average
6.9,71.9,73.3,5.4,6,High School,Yes,No,Yes,Group Study,35.38,Fail,Poor
13.6,83.3,70.1,6.3,4,Masters,Yes,No,No,Self-study,65.02,Pass,Average
7.5,70.0,70.9,8.3,9,High School,Yes,Yes,No,Group Study,51.45,Pass,Average
4.9,100.0,45.1,7.9,6,Masters,Yes,Yes,No,Group Study,42.98,Pass,Below Average
19.3,65.7,80.7,4.9,10,Bachelors,Yes,Yes,No,Self-study,60.71,Pass,Average
10.9,83.7,82.5,7.2,4,Masters,Yes,Yes,Yes,Self-study,68.14,Pass,Average
12.3,87.6,61.6,4.1,8,High School,Yes,Yes,No,Group Study,51.95,Pass,Average
4.9,85.0,64.3,6.8,3,Masters,No,No,No,Group Study,45.15,Pass,Below Average
9.3,77.8,42.0,9.2,5,High School,Yes,Yes,No,Group Study,44.78,Pass,Below Average
12.6,78.4,72.7,5.5,5,High School,No,No,Yes,Tutoring,40.99,Pass,Below Average
6.2,80.5,73.6,5.6,4,Bachelors,Yes,Yes,Yes,Group Study,46.47,Pass,Below Average
13.9,78.2,64.1,7.7,4,High School,Yes,No,No,Online Courses,57.95,Pass,Average
9.0,91.6,81.9,4.7,2,High School,Yes,No,No,Online Courses,75.74,Pass,Good
10.5,100.0,60.0,5.9,3,PhD,Yes,Yes,No,Online Courses,63.19,Pass,Average
9.0,73.3,73.5,7.5,10,PhD,No,Yes,Yes,Self-study,47.22,Pass,Below Average
21.3,63.6,49.7,5.9,11,Bachelors,Yes,No,No,Self-study,50.96,Pass,Average
11.9,78.9,64.6,6.4,4,PhD,Yes,No,Yes,Self-study,52.18,Pass,Average
6.7,100.0,62.4,7.7,0,Bachelors,Yes,No,Yes,Group Study,65.67,Pass,Average
16.1,70.4,68.4,7.2,6,High School,Yes,Yes,No,Online Courses,41.36,Pass,Below Average
5.9,99.7,59.5,7.0,6,Masters,No,Yes,No,Group Study,51.83,Pass,Average
13.0,100.0,63.0,6.3,9,Bachelors,Yes,No,Yes,Tutoring,64.44,Pass,Average
2.2,73.4,77.4,7.2,5,PhD,Yes,No,Yes,Tutoring,47.64,Pass,Below Average
5.4,86.8,58.4,6.5,3,High School,Yes,No,Yes,Self-study,38.24,Fail,Poor
13.0,99.5,40.9,7.3,4,Bachelors,No,No,No,Tutoring,56.61,Pass,Average
15.7,75.5,91.2,6.1,6,High School,Yes,No,No,Online Courses,69.84,Pass,Average
12.9,77.6,85.7,6.5,4,High School,Yes,Yes,No,Tutoring,64.31,Pass,Average
11.4,73.0,45.6,5.4,9,High School,Yes,Yes,No,Self-study,36.69,Fail,Poor
10.5,67.8,75.3,6.7,7,PhD,Yes,Yes,No,Group Study,63.01,Pass,Average
4.6,72.2,57.5,5.6,5,Masters,Yes,No,Yes,Tutoring,37.72,Fail,Poor
8.4,65.3,69.0,5.3,9,Masters,Yes,Yes,No,Online Courses,54.54,Pass,Average
9.7,80.4,69.4,7.0,5,Bachelors,Yes,Yes,No,Online Courses,69.08,Pass,Average
17.3,70.8,61.5,7.0,6,High School,Yes,No,Yes,Online Courses,32.13,Fail,Poor
13.7,82.8,53.2,7.7,5,High School,Yes,No,Yes,Group Study,50.49,Pass,Average
3.2,61.3,54.6,6.1,9,High School,Yes,No,Yes,Online Courses,15.0,Fail,Poor
13.6,84.0,51.3,7.2,4,Bachelors,Yes,No,Yes,Self-study,69.32,Pass,Average
10.1,90.0,52.5,7.4,7,Masters,No,Yes,No,Self-study,50.37,Pass,Average
8.6,56.1,64.0,7.3,7,Bachelors,No,No,No,Online Courses,43.39,Pass,Below Average
15.1,84.5,54.3,5.6,5,High School,Yes,No,No,Tutoring,53.59,Pass,Average
17.2,94.7,75.2,6.9,2,High School,Yes,No,No,Online Courses,64.84,Pass,Average
16.7,65.5,87.3,7.2,7,High School,Yes,Yes,No,Self-study,55.79,Pass,Average
7.8,100.0,56.3,6.7,7,Bachelors,Yes,Yes,No,Self-study,69.81,Pass,Average
10.5,85.0,68.6,4.0,5,PhD,Yes,No,Yes,Self-study,61.93,Pass,Average
13.7,71.5,72.5,6.9,4,Bachelors,Yes,No,No,Tutoring,72.37,Pass,Good
16.9,79.3,72.1,9.6,3,Masters,Yes,No,No,Tutoring,72.12,Pass,Good
9.6,86.7,66.1,6.2,3,Bachelors,No,No,Yes,Tutoring,50.05,Pass,Average
11.1,80.9,76.1,5.8,6,Bachelors,Yes,No,Yes,Self-study,52.54,Pass,Average
6.5,86.5,72.2,7.2,9,High School,Yes,No,No,Group Study,50.3,Pass,Average
6.0,69.0,46.4,7.1,6,Masters,Yes,No,No,Online Courses,35.83,Fail,Poor
16.1,82.0,78.0,8.3,6,Masters,Yes,Yes,Yes,Online Courses,68.56,Pass,Average
18.8,63.0,78.3,5.1,7,High School,Yes,No,No,Self-study,50.23,Pass,Average
11.6,78.7,53.6,7.7,6,Bachelors,Yes,No,No,Tutoring,56.51,Pass,Average
17.0,69.2,65.6,7.5,5,Bachelors,Yes,Yes,No,Group Study,62.39,Pass,Average
13.8,71.2,75.2,6.5,7,Bachelors,Yes,Yes,Yes,Group Study,57.25,Pass,Average
8.8,94.8,61.9,7.1,4,PhD,No,Yes,No,Tutoring,72.07,Pass,Good
13.8,93.1,81.1,8.0,8,Bachelors,Yes,No,No,Online Courses,70.24,Pass,Good
19.7,87.3,100.0,7.8,4,Bachelors,Yes,Yes,Yes,Online Courses,84.55,Pass,Good
11.8,66.9,53.2,5.2,8,High School,Yes,No,No,Group Study,55.22,Pass,Average
19.8,76.2,44.3,7.8,5,High School,Yes,Yes,No,Group Study,65.57,Pass,Average
0.0,94.6,69.6,6.6,1,High School,Yes,Yes,Yes,Tutoring,55.84,Pass,Average
16.1,81.7,75.8,6.8,8,High School,Yes,No,Yes,Online Courses,54.74,Pass,Average
