feature,importance
num__study_hours_per_week,0.27327167760482063
num__previous_score,0.25179886031739446
num__attendance_percent,0.22111423342027486
num__sleep_hours,0.07617436781939495
num__absences,0.04259816184794728
cat__parental_education_High School,0.025175617942256118
cat__part_time_job_Yes,0.013506374141227665
cat__part_time_job_No,0.012689239391640985
cat__internet_access_No,0.00983804668786012
cat__internet_access_Yes,0.009637501896601407
cat__study_method_Online Courses,0.009391184554821781
cat__study_method_Tutoring,0.00917780246567523
cat__parental_education_Masters,0.008067439275932509
cat__study_method_Group Study,0.007208809125885644
cat__parental_education_PhD,0.006426565272883455
cat__study_method_Self-study,0.006259012482718239
cat__parental_education_Bachelors,0.006165814059632328
cat__extracurricular_activities_Yes,0.005799880849131651
cat__extracurricular_activities_No,0.0056994108439007525
